Date,MaxT,MinT,WindSpeed,Humidity ,Precipitation
2006-01-08 00:00:00,29.5,21.8,1.6,70.2,0.0
2006-01-09 00:00:00,30.1,21.0,1.6,67.4,0.0
2006-01-10 00:00:00,29.9,21.1,1.7,65.2,0.0
2006-01-11 00:00:00,29.8,20.8,1.5,69.0,0.0
2006-01-12 00:00:00,29.6,20.5,2.1,69.5,0.0
2006-01-13 00:00:00,29.7,19.8,2.1,62.6,0.0
2006-01-14 00:00:00,29.7,19.7,2.1,62.5,0.0
2006-01-15 00:00:00,29.4,19.9,1.8,67.3,0.0
2006-01-16 00:00:00,30.3,19.9,1.3,66.4,0.0
2006-01-17 00:00:00,31.0,20.7,1.3,67.7,0.0
2006-01-18 00:00:00,31.5,20.6,1.4,68.9,0.0
2006-01-19 00:00:00,32.1,20.4,1.6,61.2,0.0
2006-01-20 00:00:00,33.9,20.9,1.7,58.3,0.0
2006-01-21 00:00:00,32.7,21.0,1.4,57.3,0.0
2006-01-22 00:00:00,33.2,20.4,2.0,61.1,0.0
2006-01-23 00:00:00,33.0,21.1,2.5,49.2,0.0
2006-01-24 00:00:00,31.4,20.9,2.3,52.6,0.0
2006-01-25 00:00:00,29.0,20.2,2.5,57.1,0.0
2006-01-26 00:00:00,27.0,19.6,1.8,56.3,0.0
2006-01-27 00:00:00,29.3,18.1,2.3,57.8,0.0
2006-01-28 00:00:00,29.3,16.8,2.1,56.6,0.0
2006-01-29 00:00:00,29.8,17.7,1.9,55.9,0.0
2006-01-30 00:00:00,29.7,18.5,2.0,53.3,0.0
2006-01-31 00:00:00,30.5,19.9,1.9,61.2,0.0
2006-02-01 00:00:00,30.3,19.5,1.8,65.9,0.0
2006-02-02 00:00:00,30.2,19.9,2.0,62.9,0.0
2006-02-03 00:00:00,31.1,19.2,2.7,63.1,0.0
2006-02-04 00:00:00,32.0,20.0,1.9,55.9,0.0
2006-02-05 00:00:00,32.1,19.3,1.8,55.4,0.0
2006-02-06 00:00:00,31.0,20.1,1.9,60.4,0.0
2006-02-07 00:00:00,30.9,19.8,1.8,51.2,0.0
2006-02-08 00:00:00,30.2,19.7,1.8,53.7,0.0
2006-02-09 00:00:00,29.6,19.9,2.0,55.1,0.0
2006-02-10 00:00:00,31.2,19.6,2.2,53.0,0.0
2006-02-11 00:00:00,32.2,20.1,2.1,57.3,0.0
2006-02-12 00:00:00,31.3,19.8,1.8,57.3,0.0
2006-02-13 00:00:00,31.8,19.7,1.7,54.6,0.0
2006-02-14 00:00:00,34.1,20.6,1.7,52.9,0.0
2006-02-15 00:00:00,33.5,20.9,1.3,56.2,0.0
2006-02-16 00:00:00,33.4,20.4,1.8,55.1,0.0
2006-02-17 00:00:00,32.8,21.8,1.9,58.9,0.0
2006-02-18 00:00:00,33.1,22.6,1.9,57.4,0.0
2006-02-19 00:00:00,33.9,22.4,1.7,54.0,0.0
2006-02-20 00:00:00,33.9,22.5,2.0,59.9,0.0
2006-02-21 00:00:00,34.2,21.8,1.8,58.2,0.0
2006-02-22 00:00:00,34.7,21.9,1.7,53.3,0.0
2006-02-23 00:00:00,34.9,21.4,2.0,50.9,0.0
2006-02-24 00:00:00,35.3,21.0,2.0,45.7,0.0
2006-02-25 00:00:00,35.3,20.8,1.8,45.4,0.0
2006-02-26 00:00:00,35.6,21.6,2.1,49.7,0.0
2006-02-27 00:00:00,34.8,21.4,2.6,52.3,0.0
2006-02-28 00:00:00,34.6,22.6,2.5,56.0,0.0
2006-03-01 00:00:00,33.6,23.5,2.5,56.2,0.0
2006-03-02 00:00:00,33.1,22.8,2.8,66.0,0.0
2006-03-03 00:00:00,32.1,24.3,2.8,71.3,4.8
2006-03-04 00:00:00,33.1,25.3,2.3,71.7,0.0
2006-03-05 00:00:00,32.9,24.6,2.3,69.6,4.8
2006-03-06 00:00:00,33.7,24.1,2.2,67.0,0.0
2006-03-07 00:00:00,33.3,24.0,2.2,65.5,0.0
2006-03-08 00:00:00,33.0,24.1,2.2,64.3,0.0
2006-03-09 00:00:00,32.7,24.2,3.2,63.5,0.0
2006-03-10 00:00:00,32.5,23.8,2.6,66.3,0.0
2006-03-11 00:00:00,30.8,22.7,2.1,76.2,0.0
2006-03-12 00:00:00,32.5,23.4,1.7,64.8,0.0
2006-03-13 00:00:00,32.8,23.8,2.3,61.5,0.0
2006-03-14 00:00:00,33.3,24.3,2.6,63.2,0.0
2006-03-15 00:00:00,33.7,25.3,2.4,70.2,0.0
2006-03-16 00:00:00,33.3,24.8,2.4,59.6,0.0
2006-03-17 00:00:00,32.7,24.2,2.3,60.1,0.0
2006-03-18 00:00:00,33.8,23.6,3.0,56.7,0.0
2006-03-19 00:00:00,33.2,24.4,2.4,53.4,0.0
2006-03-20 00:00:00,34.1,23.5,2.0,56.9,0.0
2006-03-21 00:00:00,35.9,23.5,2.2,50.1,0.0
2006-03-22 00:00:00,35.4,24.4,2.5,48.5,0.0
2006-03-23 00:00:00,36.4,24.8,2.2,49.8,0.0
2006-03-24 00:00:00,35.1,24.6,1.6,48.8,0.0
2006-03-25 00:00:00,35.8,24.4,2.1,53.4,0.0
2006-03-26 00:00:00,36.4,24.9,2.1,51.3,0.0
2006-03-27 00:00:00,36.7,25.8,2.4,46.4,0.0
2006-03-28 00:00:00,35.7,25.9,2.1,57.4,0.0
2006-03-29 00:00:00,33.8,24.5,2.3,51.3,0.0
2006-03-30 00:00:00,34.8,24.8,2.5,52.4,0.0
2006-03-31 00:00:00,35.6,24.9,1.7,54.6,0.0
2006-04-01 00:00:00,36.0,25.3,2.2,53.7,0.0
2006-04-02 00:00:00,35.4,26.3,2.7,62.4,0.0
2006-04-03 00:00:00,35.4,26.3,2.7,63.4,0.0
2006-04-04 00:00:00,35.6,26.0,2.5,59.3,0.0
2006-04-05 00:00:00,36.4,26.3,2.4,50.4,0.0
2006-04-06 00:00:00,36.8,26.1,2.4,61.2,0.0
