iter	Passed	Remaining
0	448	23775
1	912	23737
2	1323	22502
3	1681	21013
4	2068	20274
5	2509	20073
6	2874	19301
7	3251	18696
8	3652	18260
9	4464	19644
10	5203	20339
11	6047	21165
12	6855	21620
13	7652	21864
14	8476	22039
15	9278	22036
16	10042	21856
17	11014	22029
18	11792	21722
19	12662	21525
20	13433	21109
21	14287	20782
22	15300	20622
23	16056	20070
24	16812	19502
25	17514	18861
26	18233	18233
27	19765	18353
28	21388	18438
29	22925	18340
30	24318	18042
31	25846	17769
32	27389	17429
33	28841	16965
34	30310	16454
35	31881	15940
36	33874	15563
37	35922	15125
38	38198	14691
39	40449	14157
40	42705	13540
41	45283	12938
42	47901	12253
43	50181	11404
44	52477	10495
45	56698	9860
46	60728	9044
47	64742	8092
48	68975	7038
49	73076	5846
50	77193	4540
51	81629	3139
52	85925	1621
53	90121	0
