iter	MultiClass
0	1.452974017
1	1.334805512
2	1.244396606
3	1.169097202
4	1.113416788
5	1.065156558
6	1.020384298
7	0.9828874625
8	0.9522054401
9	0.9198488633
10	0.8952426829
11	0.8722911926
12	0.8526488616
13	0.8328766732
14	0.8147091077
15	0.797765275
16	0.782902317
17	0.7696364965
18	0.7568102052
19	0.747551052
20	0.7396338501
21	0.7311228984
22	0.7232988355
23	0.7153925001
24	0.7086999156
25	0.7036112942
26	0.698161548
27	0.6925112557
28	0.6880184259
29	0.6832531324
30	0.6779720165
31	0.6739779304
32	0.6693802816
33	0.665501214
34	0.6628755235
35	0.6598809936
36	0.6566893994
37	0.6543661464
38	0.6517198903
39	0.6491670613
40	0.6460902858
41	0.6436094577
42	0.6420541984
43	0.6397359227
44	0.6381666175
45	0.6362886499
46	0.6347585523
47	0.6322033403
48	0.6310680158
49	0.6294353814
50	0.6277059448
51	0.6263997703
52	0.6249673149
53	0.6231593467
54	0.6215098707
55	0.6202601106
56	0.6186956641
57	0.6175320353
58	0.6163444087
59	0.615185889
60	0.6144095779
61	0.6128895482
62	0.612096559
63	0.6109830061
64	0.6094081059
65	0.6079785571
66	0.6068428693
67	0.6059746585
68	0.6051231079
69	0.604419651
70	0.6030995829
71	0.6013840881
72	0.6008112884
73	0.600003475
74	0.5994450773
75	0.598724585
76	0.5978082373
77	0.5963368403
78	0.5957096053
79	0.5950913639
80	0.5938442396
81	0.593058635
82	0.5925734636
83	0.5918380243
84	0.5909062054
85	0.589436255
86	0.5889085495
87	0.5882011989
88	0.5876593546
89	0.5865110712
90	0.5854932201
91	0.5843678427
92	0.5837705767
93	0.5834187004
94	0.5827542067
95	0.5817725068
96	0.5811347956
97	0.5804963878
98	0.5796091461
99	0.5788658163
100	0.5782133311
101	0.5771958242
102	0.5764975278
103	0.5758016035
104	0.5751658664
105	0.5742450955
106	0.5735338736
107	0.572756653
108	0.5721516331
109	0.5709795611
110	0.570687391
111	0.5698323446
112	0.5688936546
113	0.567870957
114	0.5667160684
115	0.565263226
116	0.5643771301
117	0.5634553751
118	0.5627156637
119	0.5617930857
120	0.5606995456
121	0.5601423724
122	0.5588271114
123	0.5579854088
124	0.5573978866
125	0.5564223038
126	0.5556437077
127	0.5546760565
128	0.5538880814
129	0.5529188482
130	0.552376692
131	0.551862082
132	0.5509810376
133	0.5506875179
134	0.5498567701
135	0.5491309662
136	0.5484464403
137	0.5472716181
138	0.5461339615
139	0.545064301
140	0.544268755
141	0.5431180993
142	0.5425945214
143	0.5414529449
144	0.540696895
145	0.5401066724
146	0.5394422614
147	0.538522353
148	0.5375259396
149	0.5367444858
150	0.5362440007
151	0.5356987109
152	0.5348813622
153	0.5342245104
154	0.5337384637
155	0.5330614204
156	0.5327390848
157	0.5316733717
158	0.5308748836
159	0.5304010459
160	0.5298908602
161	0.5289495522
162	0.5283498064
163	0.5277765572
164	0.5270079186
165	0.5263280687
166	0.5259167899
167	0.5254772119
168	0.5249201886
169	0.5242655587
170	0.5235345663
171	0.5230478996
172	0.5222732573
173	0.5218030661
174	0.5209503551
175	0.5205436411
176	0.5199529069
177	0.519158826
178	0.5187510132
179	0.5179817006
180	0.5176986081
181	0.5173241622
182	0.5165701695
183	0.5159894149
184	0.5151372664
185	0.514521166
186	0.5138148678
187	0.5130505823
188	0.5125352651
189	0.5117273202
190	0.510963458
191	0.5102992446
192	0.5099403595
193	0.5089929174
194	0.5084517439
195	0.5080059193
196	0.5071088283
197	0.5063029858
198	0.5059011591
199	0.5053134341
200	0.5047801667
201	0.5042572995
202	0.5035148861
203	0.5027418256
204	0.5021320266
205	0.5016240175
206	0.5012365895
207	0.5004709512
208	0.4999416723
209	0.4994695623
210	0.4990925642
211	0.4984771248
212	0.4979151826
213	0.4975549276
214	0.4970019725
215	0.4967416747
216	0.4958729749
217	0.4950967714
218	0.4944374165
219	0.4937874223
220	0.4929685375
221	0.4922328733
222	0.4918089164
223	0.4909863373
224	0.4904339951
225	0.4900008148
226	0.4893037946
227	0.4887227884
228	0.4879313736
229	0.4876276109
230	0.4871955442
231	0.4865728709
232	0.4857966129
233	0.4851434578
234	0.4844700377
235	0.484197589
236	0.4838155584
237	0.4833486797
238	0.4827291279
239	0.4822705107
240	0.4816842138
241	0.4811436957
242	0.4805738339
243	0.4802735571
244	0.4798543732
245	0.4790476472
246	0.4785924021
247	0.4778453057
248	0.4775634858
249	0.4769234035
250	0.476495187
251	0.4759977543
252	0.4753053152
253	0.4748648534
254	0.4745371876
255	0.4738292606
256	0.4735395413
257	0.4729183218
258	0.4725409355
259	0.4720043004
260	0.4713403827
261	0.4709634055
262	0.4707923084
263	0.4705077985
264	0.4700092117
265	0.469421454
266	0.4692045488
267	0.4686999123
268	0.4685059917
269	0.4680870608
270	0.4677313392
271	0.4672692126
272	0.4668086551
273	0.4661310592
274	0.4654901845
275	0.4646670138
276	0.4636003513
277	0.463032317
278	0.4625162787
279	0.4618919895
280	0.4612322127
281	0.4610976714
282	0.4607075177
283	0.4602325445
284	0.4599466739
285	0.4595656601
286	0.4591684494
287	0.4587906359
288	0.4584713019
289	0.4581388314
290	0.4579305207
291	0.457546586
292	0.4570715756
293	0.4566417111
294	0.4562800618
295	0.45570979
296	0.4551824874
297	0.4547187348
298	0.4544365364
299	0.454123527
300	0.4536522486
301	0.4531296047
302	0.4525920556
303	0.4519428102
304	0.4517146398
305	0.4512218106
306	0.4508677775
307	0.4502546204
308	0.4495283403
309	0.4490080955
310	0.448616826
311	0.4481015119
312	0.4477760324
313	0.447263405
314	0.4466681431
315	0.4461126776
316	0.4457850808
317	0.4453642129
318	0.444790285
319	0.4440930431
320	0.4438066311
321	0.443209713
322	0.4426444651
323	0.4421953436
324	0.4418788687
325	0.4413684389
326	0.4410222667
327	0.4405156585
328	0.4401340551
329	0.4398790072
330	0.4393283497
331	0.4389085662
332	0.4382385367
333	0.4379908344
334	0.4373914983
335	0.4369706828
336	0.4365188598
337	0.4361351114
338	0.435725463
339	0.4354418388
340	0.435131372
341	0.4346095583
342	0.4341197101
343	0.4337290318
344	0.4333293432
345	0.4329559531
346	0.4326119813
347	0.4320712316
348	0.4318723259
349	0.431336049
350	0.4308628618
351	0.4304690745
352	0.4302542647
353	0.4297036273
354	0.4292603047
355	0.4288058301
356	0.4282062936
357	0.4277945729
358	0.4274737491
359	0.4271805142
360	0.4268285209
361	0.4262917874
362	0.4257674124
363	0.4249280395
364	0.4243961355
365	0.4241739456
366	0.4236601313
367	0.4232916586
368	0.4230506733
369	0.4224970482
370	0.42220688
371	0.4213997742
372	0.4210569314
373	0.4207633887
374	0.4204718773
375	0.4201340152
376	0.4197074559
377	0.4195584217
378	0.419191471
379	0.4189691937
380	0.4184454616
381	0.4181994737
382	0.4178358522
383	0.4175751278
384	0.4168847496
385	0.4165432341
386	0.4160660519
387	0.4156849727
388	0.4153490127
389	0.4151049554
390	0.4148548329
391	0.4144939779
392	0.4140677946
393	0.4137628804
394	0.4132772597
395	0.4127193432
396	0.4125129555
397	0.4122544612
398	0.4118968967
399	0.4113139377
400	0.4110128184
401	0.4104536042
402	0.4099861487
403	0.4096053413
404	0.4092807556
405	0.4087459648
406	0.4084885801
407	0.4082997802
408	0.4079165316
409	0.4074944994
410	0.4071543221
411	0.406785098
412	0.4065893824
413	0.4062953037
414	0.4058433335
415	0.4053616308
416	0.4051927976
417	0.404676148
418	0.4043735988
419	0.4040650789
420	0.4038986538
421	0.403248701
422	0.4028380896
423	0.4022398888
424	0.4019000847
425	0.4012276887
426	0.4008107192
427	0.4005446985
428	0.4002164067
429	0.4000669124
430	0.3996687442
431	0.398975448
432	0.398589678
433	0.3982685683
434	0.398003959
435	0.3977958584
436	0.3974586648
437	0.3971921455
438	0.3967627923
439	0.3966466487
440	0.3960798212
441	0.3956798251
442	0.3953995235
443	0.3952742022
444	0.3947410619
445	0.3944764827
446	0.3941584895
447	0.393996542
448	0.3935234921
449	0.3930609277
450	0.3927480229
451	0.392341697
452	0.392020404
453	0.391753204
454	0.391288196
455	0.3911519614
456	0.3907526283
457	0.3901866108
458	0.3896731515
459	0.3895071559
460	0.3892135903
461	0.3885882908
462	0.3884303147
463	0.3878818288
464	0.3875700288
465	0.38693158
466	0.3865634457
467	0.3863763634
468	0.3860727221
469	0.3858477868
470	0.3856142172
471	0.385019099
472	0.3848205604
473	0.3845320333
474	0.3842606716
475	0.3838301465
476	0.3836405056
477	0.383242644
478	0.3829742984
479	0.3826071687
480	0.3823513971
481	0.3819857559
482	0.3817446789
483	0.3813272967
484	0.3810482145
485	0.3806289349
486	0.3800715703
487	0.3799129289
488	0.3792839977
489	0.3787914632
490	0.3784562226
491	0.3780573718
492	0.3778521445
493	0.3773634613
494	0.3771448005
495	0.3769681382
496	0.3766768033
497	0.3761420691
498	0.3757154222
499	0.3754305804
500	0.374971781
501	0.374694475
502	0.3742858502
503	0.3739548799
504	0.3736638254
505	0.3734801213
506	0.3729609911
507	0.3726865472
508	0.3723693277
509	0.3718719832
510	0.3715783907
511	0.3714494066
512	0.3709108079
513	0.3705631583
514	0.3703486233
515	0.3700463633
516	0.3697730393
517	0.3693018551
518	0.3690858193
519	0.3688409867
520	0.3686323663
521	0.368405313
522	0.3680108718
523	0.3676819535
524	0.3674215437
525	0.3671294491
526	0.3667455061
527	0.3665843575
528	0.3663410149
529	0.3659208538
530	0.3656240947
531	0.3653492728
532	0.3650164418
533	0.3647336852
534	0.3644249735
535	0.3641952661
536	0.363814185
537	0.3635474523
538	0.3633331296
539	0.3629785976
540	0.3626592089
541	0.362313361
542	0.3620830245
543	0.361594067
544	0.361203012
545	0.3607280953
546	0.3602680385
547	0.3600644771
