iter	Passed	Remaining
0	1	1870
1	3	1710
2	4	1584
3	6	1512
4	7	1504
5	8	1480
6	10	1442
7	11	1431
8	13	1442
9	14	1469
10	16	1468
11	18	1492
12	19	1502
13	21	1509
14	23	1515
15	24	1513
16	26	1521
17	28	1528
18	29	1537
19	31	1542
20	33	1549
21	35	1565
22	37	1579
23	38	1581
24	40	1584
25	42	1590
26	44	1589
27	45	1588
28	47	1590
29	49	1591
30	50	1589
31	52	1587
32	54	1587
33	56	1592
34	57	1591
35	59	1592
36	61	1588
37	62	1588
38	64	1584
39	65	1578
40	67	1577
41	68	1573
42	70	1571
43	72	1574
44	74	1576
45	76	1582
46	78	1583
47	79	1580
48	81	1584
49	83	1581
50	84	1581
51	86	1579
52	88	1581
53	90	1577
54	91	1572
55	92	1567
56	94	1566
57	96	1564
58	98	1563
59	99	1560
60	101	1559
61	103	1565
62	105	1563
63	106	1560
64	108	1559
65	109	1554
66	111	1552
67	113	1549
68	114	1547
69	116	1546
70	117	1543
71	119	1541
72	121	1539
73	123	1540
74	124	1539
75	126	1539
76	128	1539
77	130	1537
78	131	1536
79	133	1535
80	135	1534
81	136	1533
82	138	1533
83	140	1530
84	141	1527
85	143	1525
86	144	1521
87	146	1520
88	148	1519
89	150	1516
90	151	1515
91	153	1516
92	155	1515
93	156	1513
94	158	1512
95	160	1509
96	162	1508
97	163	1506
98	165	1506
99	167	1504
100	169	1505
101	170	1504
102	172	1503
103	174	1502
104	176	1501
105	177	1499
106	179	1498
107	181	1495
108	182	1493
109	184	1491
110	186	1490
111	187	1489
112	189	1488
113	191	1486
114	193	1485
115	194	1483
116	196	1480
117	197	1478
118	199	1476
119	201	1474
120	202	1473
121	204	1471
122	206	1468
123	207	1467
124	209	1465
125	211	1463
126	213	1465
127	214	1464
128	216	1463
129	218	1460
130	219	1458
131	221	1456
132	223	1454
133	224	1453
134	226	1450
135	228	1449
136	229	1447
137	231	1446
138	233	1446
139	235	1445
140	237	1444
141	238	1442
142	240	1441
143	242	1440
144	244	1439
145	246	1439
146	247	1438
147	249	1436
148	251	1434
149	252	1433
150	254	1431
151	256	1430
152	257	1428
153	259	1427
154	261	1426
155	263	1425
156	265	1423
157	266	1421
158	268	1419
159	270	1418
160	271	1416
161	273	1415
162	275	1412
163	276	1411
164	278	1410
165	280	1407
166	282	1406
167	283	1406
168	285	1404
169	287	1402
170	289	1401
171	290	1399
